,name,latitude,longitude,city,region,cuisine,url,michelin_stars
39,The Progress,37.78371,-122.43281999999999,San Francisco,California,Californian,https://guide.michelin.com/us/en/california/san-francisco/restaurant/the-progress,1
40,State Bird Provisions,37.783737,-122.43283000000001,San Francisco,California,American,https://guide.michelin.com/us/en/california/san-francisco/restaurant/state-bird-provisions,1
41,Octavia,37.787857,-122.42708999999999,San Francisco,California,Californian,https://guide.michelin.com/us/en/california/san-francisco/restaurant/octavia,1
42,SPQR,37.78732,-122.43375,San Francisco,California,Italian,https://guide.michelin.com/us/en/california/san-francisco/restaurant/spqr,1
43,Lord Stanley,37.79592,-122.42208000000001,San Francisco,California,Californian,https://guide.michelin.com/us/en/california/san-francisco/restaurant/lord-stanley,1
44,Kinjo,37.79699,-122.422005,San Francisco,California,Japanese,https://guide.michelin.com/us/en/california/san-francisco/restaurant/kinjo,1
45,Sorrel,37.788334000000006,-122.44613999999999,San Francisco,California,Californian,https://guide.michelin.com/us/en/california/san-francisco/restaurant/sorrel,1
46,Gary Danko,37.80599,-122.42066000000001,San Francisco,California,Contemporary,https://guide.michelin.com/us/en/california/san-francisco/restaurant/gary-danko,1
47,Bar Crenn,37.798435,-122.43581,San Francisco,California,French,https://guide.michelin.com/us/en/california/san-francisco/restaurant/bar-crenn,1
48,Spruce,37.78772,-122.45263999999999,San Francisco,California,Californian,https://guide.michelin.com/us/en/california/san-francisco/restaurant/spruce,1
49,Wako,37.783035,-122.461525,San Francisco,California,Japanese,https://guide.michelin.com/us/en/california/san-francisco/restaurant/wako,1
50,Madcap,37.974712,-122.56168000000001,San Francisco,California,Contemporary,https://guide.michelin.com/us/en/california/san-francisco/restaurant/madcap,1
51,Aubergine,36.55406,-121.924355,Monterey,California,Contemporary,https://guide.michelin.com/us/en/california/monterey/restaurant/aubergine,1
52,Kenzo,38.299240000000005,-122.28928,San Francisco,California,Japanese,https://guide.michelin.com/us/en/california/san-francisco/restaurant/kenzo,1
53,La Toque,38.303509999999996,-122.28348999999999,San Francisco,California,Contemporary,https://guide.michelin.com/us/en/california/san-francisco/restaurant/la-toque,1
54,Bouchon,38.40258,-122.3619,San Francisco,California,French,https://guide.michelin.com/us/en/california/san-francisco/restaurant/bouchon,1
55,Auberge du Soleil,38.49199,-122.40534,San Francisco,California,Californian,https://guide.michelin.com/us/en/california/san-francisco/restaurant/auberge-du-soleil,1
56,Farmhouse Inn & Restaurant,38.490390000000005,-122.8835,San Francisco,California,Californian,https://guide.michelin.com/us/en/california/san-francisco/restaurant/farmhouse-inn-restaurant,1
57,The Kitchen,38.58894,-121.41423999999999,Sacramento,California,Contemporary,https://guide.michelin.com/us/en/california/us-sacramento/restaurant/the-kitchen559371,1
58,Madrona Manor,38.604279999999996,-122.88646999999999,San Francisco,California,Contemporary,https://guide.michelin.com/us/en/california/san-francisco/restaurant/madrona-manor,1
59,Harbor House,39.135876,-123.719444,San Francisco,California,Californian,https://guide.michelin.com/us/en/california/san-francisco/restaurant/harbor-house,1
60,Shin Sushi,34.15784,-118.49415,Los Angeles,California,Japanese,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/shin-sushi,1
61,Rustic Canyon,34.024952,-118.49118,Los Angeles,California,Californian,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/rustic-canyon,1
62,Dialogue,34.01679,-118.49748000000001,Los Angeles,California,Contemporary,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/dialogue,1
63,Kato,34.041683,-118.46091499999999,Los Angeles,California,Asian,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/kato,1
64,CUT,34.067036,-118.40102399999999,Los Angeles,California,Steakhouse,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/cut559418,1
65,Nozawa Bar,34.0683,-118.39849,Los Angeles,California,Japanese,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/nozawa-bar,1
66,Shunji,34.028496000000004,-118.45195,Los Angeles,California,Japanese,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/shunji,1
67,Maude,34.064346,-118.39903999999999,Los Angeles,California,Contemporary,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/maude,1
68,Mori Sushi,34.033398,-118.44228999999999,Los Angeles,California,Japanese,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/mori-sushi,1
69,Trois Mec,34.084255,-118.33851000000001,Los Angeles,California,Contemporary,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/trois-mec,1
70,Osteria Mozza,34.083420000000004,-118.338974,Los Angeles,California,Italian,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/osteria-mozza,1
71,Kali,34.083443,-118.32455,Los Angeles,California,Californian,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/kali,1
72,Le Comptoir,34.06354,-118.30057,Los Angeles,California,Californian,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/le-comptoir,1
73,Q Sushi,34.046883,-118.255844,Los Angeles,California,Japanese,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/q-sushi,1
74,Shibumi,34.044154999999996,-118.256134,Los Angeles,California,Japanese,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/shibumi559644,1
75,Hayato,34.03311,-118.24265,Los Angeles,California,Japanese,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/hayato,1
76,Bistro Na's,34.104411999999996,-118.07158999999999,Los Angeles,California,Chinese,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/bistro-na-s,1
77,Orsa & Winston,33.92145,-118.275406,Los Angeles,California,Fusion,https://guide.michelin.com/us/en/california/us-los-angeles/restaurant/orsa-winston,1
78,Taco María,33.69475,-117.92496499999999,Costa Mesa,California,Mexican,https://guide.michelin.com/us/en/california/us-costa-mesa/restaurant/taco-maria,1
79,Hana re,33.67759,-117.88656599999999,Costa Mesa,California,Japanese,https://guide.michelin.com/us/en/california/us-costa-mesa/restaurant/hana-re,1
80,Addison,32.939903,-117.20013,San Diego,California,Contemporary,https://guide.michelin.com/us/en/california/us-san-diego/restaurant/addison,1
81,Parachute,41.944829999999996,-87.70638000000001,Chicago,Chicago,Fusion,https://guide.michelin.com/us/en/illinois/chicago/restaurant/parachute,1
82,Goosefoot,41.96856,-87.69596,Chicago,Chicago,Contemporary,https://guide.michelin.com/us/en/illinois/chicago/restaurant/goosefoot,1
83,Elizabeth,41.969555,-87.68873599999999,Chicago,Chicago,Contemporary,https://guide.michelin.com/us/en/illinois/chicago/restaurant/elizabeth,1
84,EL Ideas,41.863,-87.68686,Chicago,Chicago,Contemporary,https://guide.michelin.com/us/en/illinois/chicago/restaurant/el-ideas,1
85,Band of Bohemia,41.967308,-87.67477,Chicago,Chicago,Gastropub,https://guide.michelin.com/us/en/illinois/chicago/restaurant/band-of-bohemia,1
86,Schwa,41.908879999999996,-87.66792,Chicago,Chicago,Contemporary,https://guide.michelin.com/us/en/illinois/chicago/restaurant/schwa,1
87,Temporis,41.898907,-87.66725,Chicago,Chicago,Contemporary,https://guide.michelin.com/us/en/illinois/chicago/restaurant/temporis,1
88,Entente,41.93721,-87.6652,Chicago,Chicago,Contemporary,https://guide.michelin.com/us/en/illinois/chicago/restaurant/entente,1
89,Elske,41.884426,-87.66071,Chicago,Chicago,Contemporary,https://guide.michelin.com/us/en/illinois/chicago/restaurant/elske,1
90,Dusek's (Board & Beer),41.857853000000006,-87.65756999999999,Chicago,Chicago,Gastropub,https://guide.michelin.com/us/en/illinois/chicago/restaurant/dusek-s-board-beer,1
91,Roister,41.886658000000004,-87.65187,Chicago,Chicago,Contemporary,https://guide.michelin.com/us/en/illinois/chicago/restaurant/roister,1
92,Boka,41.91363,-87.64806,Chicago,Chicago,Contemporary,https://guide.michelin.com/us/en/illinois/chicago/restaurant/boka,1
93,Blackbird,41.88423,-87.64356,Chicago,Chicago,Contemporary,https://guide.michelin.com/us/en/illinois/chicago/restaurant/blackbird,1
94,Sepia,41.88394,-87.64246999999999,Chicago,Chicago,American,https://guide.michelin.com/us/en/illinois/chicago/restaurant/sepia,1
95,North Pond,41.9296,-87.63762,Chicago,Chicago,Contemporary,https://guide.michelin.com/us/en/illinois/chicago/restaurant/north-pond,1
96,Everest,41.87597,-87.63212,Chicago,Chicago,French,https://guide.michelin.com/us/en/illinois/chicago/restaurant/everest,1
97,Topolobampo,41.89047,-87.63085,Chicago,Chicago,Mexican,https://guide.michelin.com/us/en/illinois/chicago/restaurant/topolobampo,1
98,Spiaggia,41.90062,-87.62456999999999,Chicago,Chicago,Italian,https://guide.michelin.com/us/en/illinois/chicago/restaurant/spiaggia,1
99,Monte,45.08279,13.631167999999999,Rovinj,Croatia,Creative,https://guide.michelin.com/hr/en/istria/rovinj/restaurant/monte,1
100,Draga di Lovrana,45.275867,14.251401000000001,Lovran,Croatia,Modern cuisine,https://guide.michelin.com/hr/en/primorje-gorski-kotar/lovran/restaurant/draga-di-lovrana,1
101,Noel,45.811054,15.988204999999999,Zagreb,Croatia,Modern cuisine,https://guide.michelin.com/hr/en/zagreb-region/zagreb/restaurant/noel,1
102,Pelegrini,43.73603,15.888902999999999,Šibenik,Croatia,Modern cuisine,https://guide.michelin.com/hr/en/sibenik-knin/sibenik/restaurant/pelegrini,1
103,360º,42.641563,18.111523000000002,Dubrovnik,Croatia,Modern cuisine,https://guide.michelin.com/hr/en/dubrovnik-neretva/dubrovnik/restaurant/360%C2%BA,1
104,Field,50.0919,14.42193,Praha,Czech Republic,Modern cuisine,https://guide.michelin.com/cz/en/prague/praha/restaurant/field,1
105,La Degustation Bohême Bourgeoise,50.09115,14.42511,Praha,Czech Republic,Modern cuisine,https://guide.michelin.com/cz/en/prague/praha/restaurant/la-degustation-boheme-bourgeoise,1
106,Gastromé,56.157880000000006,10.20937,Aarhus,Denmark,Modern cuisine,https://guide.michelin.com/dk/en/central-denmark/aarhus/restaurant/gastrome,1
107,Domestic,56.158930000000005,10.212132,Aarhus,Denmark,Modern cuisine,https://guide.michelin.com/dk/en/central-denmark/aarhus/restaurant/domestic,1
108,Substans,56.15415,10.20372,Aarhus,Denmark,Modern cuisine,https://guide.michelin.com/dk/en/central-denmark/aarhus/restaurant/substans,1
109,Frederikshøj,56.12497,10.208638,Aarhus,Denmark,Creative,https://guide.michelin.com/dk/en/central-denmark/aarhus/restaurant/frederikshoj,1
110,Me‚Mu,55.70901,9.53302,Vejle,Denmark,Modern cuisine,https://guide.michelin.com/dk/en/vejle/restaurant/me%E2%80%9Amu,1
111,Ti Trin Ned,55.566590000000005,9.752689,Fredericia,Denmark,Modern cuisine,https://guide.michelin.com/dk/en/southern-denmark/fredericia/restaurant/ti-trin-ned,1
112,Slotskøkkenet,55.771236,11.390805,Hørve,Denmark,Creative,https://guide.michelin.com/dk/en/zealand/horve/restaurant/slotskokkenet,1
113,Søllerød Kro,55.81325,12.49548,København,Denmark,Modern cuisine,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/sollerod-kro,1
114,Jordnær,55.748226,12.541014,København,Denmark,Danish,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/jordnaer,1
115,Relæ,55.693233,12.543222,København,Denmark,Modern cuisine,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/relae,1
116,Kiin Kiin,55.691880000000005,12.55754,København,Denmark,Thai,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/kiin-kiin,1
117,formel B,55.67031,12.537980000000001,København,Denmark,Modern cuisine,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/formel-b,1
118,Kokkeriet,55.68768000000001,12.58492,København,Denmark,Modern cuisine,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/kokkeriet,1
119,Clou,55.68342,12.58497,København,Denmark,Modern cuisine,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/clou,1
120,Marchal,55.68034,12.58508,København,Denmark,Modern cuisine,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/marchal,1
121,Kong Hans Kælder,55.6787,12.584003,København,Denmark,Classic French,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/kong-hans-kaelder,1
122,Stud!o at The Standard,55.67799,12.59191,København,Denmark,Creative,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/stud-o-at-the-standard,1
123,108,55.67785,12.598083500000001,København,Denmark,Modern cuisine,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/108,1
124,Era Ora,55.673004000000006,12.591292,København,Denmark,Italian,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/era-ora,1
125,Alouette,55.66265,12.57634,København,Denmark,Modern cuisine,https://guide.michelin.com/dk/en/capital-region/kobenhavn/restaurant/alouette,1
126,Frederiksminde,55.12416999999999,12.04623,Præstø,Denmark,Creative,https://guide.michelin.com/dk/en/zealand/praesto/restaurant/frederiksminde,1
127,Kadeau Bornholm,55.004569999999994,14.969216000000001,Pedersker,Denmark,Creative,https://guide.michelin.com/dk/en/capital-region/pedersker/restaurant/kadeau-bornholm,1
128,Ask,60.17236,24.95648,Helsingfors / Helsinki,Finland,Modern cuisine,https://guide.michelin.com/fi/en/uusimaa/helsingfors-helsinki/restaurant/ask,1
129,Grön,60.16446,24.93308,Helsingfors / Helsinki,Finland,Finnish,https://guide.michelin.com/fi/en/uusimaa/helsingfors-helsinki/restaurant/gron,1
130,Demo,60.164806000000006,24.941635,Helsingfors / Helsinki,Finland,Modern cuisine,https://guide.michelin.com/fi/en/uusimaa/helsingfors-helsinki/restaurant/demo,1
131,Olo,60.16616,24.947704,Helsingfors / Helsinki,Finland,Modern cuisine,https://guide.michelin.com/fi/en/uusimaa/helsingfors-helsinki/restaurant/olo,1
132,Palace,60.16556,24.952560000000002,Helsingfors / Helsinki,Finland,Modern cuisine,https://guide.michelin.com/fi/en/uusimaa/helsingfors-helsinki/restaurant/palace,1
133,Ora,60.157578,24.942947,Helsingfors / Helsinki,Finland,Modern cuisine,https://guide.michelin.com/fi/en/uusimaa/helsingfors-helsinki/restaurant/ora,1
134,Botrini's,38.023179999999996,23.793770000000002,Athína,Greece,Mediterranean,https://guide.michelin.com/gr/en/attica/athina/restaurant/botrini-s,1
135,Varoulko Seaside,37.937378,23.658576999999998,Athína,Greece,Seafood,https://guide.michelin.com/gr/en/attica/athina/restaurant/varoulko-seaside,1
136,Hytra,37.95818,23.71895,Athína,Greece,Modern cuisine,https://guide.michelin.com/gr/en/attica/athina/restaurant/hytra,1
137,Loaf On,22.379858,114.27188000000001,Hong Kong,Hong Kong,Cantonese,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/loaf-on,1
138,Lei Garden (Kwun Tong),22.312672,114.22482,Hong Kong,Hong Kong,Cantonese,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/lei-garden-kwun-tong,1
139,Tim Ho Wan (Sham Shui Po),22.32805,114.16665,Hong Kong,Hong Kong,Dim Sum,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/tim-ho-wan-sham-shui-po,1
140,Lei Garden (Mong Kok),22.320219,114.17133000000001,Hong Kong,Hong Kong,Cantonese,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/lei-garden-mong-kok,1
141,Ming Court,22.318314,114.16933,Hong Kong,Hong Kong,Cantonese,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/ming-court,1
142,Yat Tung Heen (Jordan),22.308014,114.17147,Hong Kong,Hong Kong,Cantonese,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/yat-tung-heen-jordan,1
143,Fu Ho (Tsim Sha Tsui),22.3022,114.17193999999999,Hong Kong,Hong Kong,Cantonese,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/fu-ho-tsim-sha-tsui,1
144,Shang Palace,22.297325,114.177155,Hong Kong,Hong Kong,Cantonese,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/shang-palace,1
145,IM Teppanyaki & Wine,22.280807,114.19211000000001,Hong Kong,Hong Kong,Teppanyaki,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/im-teppanyaki-wine,1
146,Ah Yat Harbour View (Tsim Sha Tsui),22.296984,114.17197,Hong Kong,Hong Kong,Cantonese,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/ah-yat-harbour-view-tsim-sha-tsui,1
147,Rech,22.293434,114.174034,Hong Kong,Hong Kong,Seafood,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/rech,1
148,Spring Moon,22.294943,114.17182,Hong Kong,Hong Kong,Cantonese,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/spring-moon,1
149,Imperial Treasure Fine Chinese Cuisine,22.296177,114.170006,Hong Kong,Hong Kong,Cantonese,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/imperial-treasure-fine-chinese-cuisine,1
150,Sushi Tokami,22.296112,114.16916,Hong Kong,Hong Kong,Sushi,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/sushi-tokami,1
151,Tosca,22.30357,114.16006999999999,Hong Kong,Hong Kong,Italian,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/tosca352519,1
152,Épure,22.29583,114.169304,Hong Kong,Hong Kong,French,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/epure,1
153,Yee Tung Heen,22.282295,114.18413500000001,Hong Kong,Hong Kong,Cantonese,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/yee-tung-heen,1
154,Yè Shanghai (Tsim Sha Tsui),22.295143,114.16823600000001,Hong Kong,Hong Kong,Shanghainese,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/ye-shanghai-tsim-sha-tsui,1
155,Ho Hung Kee,22.280058,114.18364,Hong Kong,Hong Kong,Noodles and congee,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/ho-hung-kee,1
156,Jardin de Jade (Wan Chai),22.28025,114.17716000000001,Hong Kong,Hong Kong,Shanghainese,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/jardin-de-jade-wan-chai,1
157,Zhejiang Heen,22.2787,114.17763000000001,Hong Kong,Hong Kong,Shanghainese,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/zhejiang-heen,1
158,Takumi by Daisuke Mori,22.276512,114.17718,Hong Kong,Hong Kong,Innovative,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/takumi-by-daisuke-mori,1
159,Kam's Roast Goose,22.277693,114.175385,Hong Kong,Hong Kong,Cantonese Roast Meats,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/kam-s-roast-goose,1
160,Pang's Kitchen,22.26921,114.18451999999999,Hong Kong,Hong Kong,Cantonese,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/pang-s-kitchen,1
161,Xin Rong Ji,22.278013,114.17273,Hong Kong,Hong Kong,Taizhou,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/xin-rong-ji,1
162,Qi (Wan Chai),22.276443,114.17126,Hong Kong,Hong Kong,Sichuan,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/qi-wan-chai,1
163,Man Wah,22.282213,114.15951000000001,Hong Kong,Hong Kong,Cantonese,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/man-wah,1
164,Summer Palace,22.277136,114.1643,Hong Kong,Hong Kong,Cantonese,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/summer-palace,1
165,Octavium,22.282587,114.1572,Hong Kong,Hong Kong,Italian,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/octavium,1
166,Arbor,22.283146,114.15541999999999,Hong Kong,Hong Kong,Innovative,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/arbor,1
167,VEA,22.284931,114.15313,Hong Kong,Hong Kong,Innovative,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/vea,1
168,Mandarin Grill + Bar,22.281048000000002,114.1574,Hong Kong,Hong Kong,European contemporary,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/mandarin-grill-bar,1
169,Yat Lok,22.28226,114.15565500000001,Hong Kong,Hong Kong,Cantonese Roast Meats,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/yat-lok,1
170,Guo Fu Lou,22.278313,114.16033999999999,Hong Kong,Hong Kong,Cantonese,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/guo-fu-lou567828,1
171,Celebrity Cuisine,22.284334,114.15312,Hong Kong,Hong Kong,Cantonese,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/celebrity-cuisine,1
172,Sushi Wadatsumi,22.281038,114.15646000000001,Hong Kong,Hong Kong,Sushi,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/sushi-wadatsumi,1
173,Arcane,22.280624,114.15682,Hong Kong,Hong Kong,European contemporary,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/arcane,1
174,Duddell's,22.280079999999998,114.15736399999999,Hong Kong,Hong Kong,Cantonese,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/duddell-s,1
175,Beefbar,22.27982,114.15751999999999,Hong Kong,Hong Kong,Steakhouse,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/beefbar,1
176,New Punjab Club,22.28005,114.15525,Hong Kong,Hong Kong,Indian,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/new-punjab-club,1
177,Kaiseki Den by Saotome,22.285713,114.147865,Hong Kong,Hong Kong,Japanese,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/kaiseki-den-by-saotome,1
178,Belon,22.281662,114.152405,Hong Kong,Hong Kong,French,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/belon,1
179,Tate,22.280996,114.15276000000001,Hong Kong,Hong Kong,Innovative,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/tate,1
