ICAO_Code,Airport_Name,City_Town,Country,Latitude_Decimal_Degrees,Longitude_Decimal_Degrees
LTAY,CARDAK,DENIZLI,TURKEY,37.785,29.701
LTAZ,KAPADOKYA,NEVSEHIR,TURKEY,38.772,34.534
LTBA,ATATURK,ISTANBUL,TURKEY,40.977,28.820999999999998
LTBD,CILDIR,AYDIN,TURKEY,37.816,27.886
LTBE,BURSA,BURSA,TURKEY,40.232,29.009
LTBF,BALIKESIR,BALIKESIR,TURKEY,39.619,27.925
LTBG,BANDIRMA,BANDIRMA,TURKEY,40.318000000000005,27.976999999999997
LTBH,CANAKKALE,CANAKKALE,TURKEY,40.138000000000005,26.427
LTBI,ESKISEHIR,ESKISEHIR,TURKEY,39.784,30.581999999999997
LTBJ,ADNAN MENDERES,IZMIR,TURKEY,38.292,27.156999999999996
LTBK,GAZIEMIR,IZMIR,TURKEY,38.319,27.16
LTBL,CIGLI,IZMIR,TURKEY,38.513000000000005,27.01
LTBM,ISPARTA,ISPARTA,TURKEY,37.785,30.581999999999997
LTBN,KUTAHYA,KUTAHYA,TURKEY,39.427,30.016
LTBO,USAK,USAK,TURKEY,38.681,29.471
LTBP,YALOVA,YALOVA,TURKEY,40.683,29.379
LTBQ,TOPEL,TOPEL,TURKEY,40.735,30.083000000000002
LTBR,YENISEHIR,YENISEHIR,TURKEY,40.255,29.563000000000002
LTBS,DALAMAN,DALAMAN,TURKEY,36.713,28.793000000000003
LTBT,AKHISAR,AKHISAR,TURKEY,38.809,27.834
LTBU,CORLU,CORLU,TURKEY,41.138000000000005,27.919
LTBX,SAMANDIRA,ISTANBUL,TURKEY,40.993,29.215999999999998
LTBY,ANADOLU,ESKISSEHIR,TURKEY,39.81,30.519000000000002
LTCA,ELAZIG,ELAZIG,TURKEY,38.607,39.291
LTCC,DIYARBAKIR,DIYABAKIR,TURKEY,37.894,40.201
LTCD,ERZINCAN,ERZINCAN,TURKEY,39.71,39.525999999999996
